1	1.6666667e-01	1.6666669e-01	1.6666667e-01	0.0000000e+00	8.9406967e-08
2	2.1666668e-01	2.1666670e-01	2.1666667e-01	6.8774590e-08	1.3754918e-07
3	2.4047618e-01	2.4047637e-01	2.4047619e-01	6.1965224e-08	7.4358269e-07
4	2.5436509e-01	2.5436521e-01	2.5436509e-01	0.0000000e+00	4.6865429e-07
5	2.6345602e-01	2.6345634e-01	2.6345599e-01	1.1312068e-07	1.3574482e-06
6	2.6986629e-01	2.6986694e-01	2.6986626e-01	1.1043367e-07	2.5399745e-06
7	2.7462822e-01	2.7462912e-01	2.7462816e-01	2.1703762e-07	3.4726020e-06
8	2.7830470e-01	2.7830553e-01	2.7830464e-01	2.1417051e-07	3.2125577e-06
9	2.8122869e-01	2.8122997e-01	2.8122860e-01	3.1791564e-07	4.8747061e-06
10	2.8360963e-01	2.8361130e-01	2.8360957e-01	2.1016443e-07	6.0947687e-06
11	2.8558594e-01	2.8558826e-01	2.8558585e-01	3.1306510e-07	8.4527583e-06
12	2.8725263e-01	2.8725529e-01	2.8725252e-01	4.1499825e-07	9.6487092e-06
13	2.8867713e-01	2.8868008e-01	2.8867701e-01	4.1295041e-07	1.0633473e-05
14	2.8990868e-01	2.8991127e-01	2.8990853e-01	5.1399525e-07	9.4575125e-06
15	2.9098395e-01	2.9098701e-01	2.9098380e-01	5.1209594e-07	1.1061272e-05
16	2.9193088e-01	2.9193401e-01	2.9193076e-01	4.0834780e-07	1.1127478e-05
17	2.9277122e-01	2.9277420e-01	2.9277110e-01	4.0717575e-07	1.0586569e-05
18	2.9352197e-01	2.9352570e-01	2.9352185e-01	4.0613429e-07	1.3097831e-05
19	2.9419672e-01	2.9420090e-01	2.9419661e-01	4.0520280e-07	1.4587301e-05
20	2.9480645e-01	2.9480934e-01	2.9480636e-01	3.0327354e-07	1.0109118e-05
21	2.9536015e-01	2.9536247e-01	2.9536006e-01	3.0270499e-07	8.1730350e-06
22	2.9586518e-01	2.9586792e-01	2.9586512e-01	2.0145885e-07	9.4685656e-06
23	2.9632771e-01	2.9633141e-01	2.9632765e-01	2.0114439e-07	1.2672097e-05
24	2.9675287e-01	2.9675674e-01	2.9675281e-01	2.0085621e-07	1.3256510e-05
25	2.9714501e-01	2.9714966e-01	2.9714498e-01	1.0029556e-07	1.5746404e-05
26	2.9750788e-01	2.9751205e-01	2.9750782e-01	2.0034648e-07	1.4224600e-05
27	2.9784456e-01	2.9784775e-01	2.9784453e-01	1.0006000e-07	1.0806480e-05
28	2.9815787e-01	2.9816055e-01	2.9815781e-01	1.9990972e-07	9.1958473e-06
29	2.9845008e-01	2.9845238e-01	2.9845005e-01	9.9856983e-08	7.7888444e-06
30	2.9872331e-01	2.9872513e-01	2.9872328e-01	9.9765650e-08	6.1854703e-06
31	2.9897934e-01	2.9898071e-01	2.9897928e-01	1.9936046e-07	4.7846506e-06
32	2.9921973e-01	2.9922104e-01	2.9921967e-01	1.9920029e-07	4.5816068e-06
